ERROR 2017-01-09 18:58:03,661  1096ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
ERROR 2017-01-09 19:03:07,957   569ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
ERROR 2017-01-09 19:04:23,852   477ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
ERROR 2017-01-09 19:05:39,869   684ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
ERROR 2017-01-09 19:06:42,843   434ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
ERROR 2017-01-09 19:07:19,129   424ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
DEBUG 2017-01-09 19:09:03,704  6258ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-09 19:14:57,190  2165ms Global                 Application_Start  - The route template '/api/alert/setacknowledged' on the action named 'SetAcknowledged' cannot start with a '/' character.
DEBUG 2017-01-09 19:16:38,571  1615ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-09 19:18:39,016   705ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-09 19:32:41,669  3482ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-09 20:06:40,921  3511ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-10 17:36:31,760  7113ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-10 17:51:26,577  5292ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-10 18:22:12,727  3025ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-10 18:25:13,120  2205ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-10 19:16:03,110  3222ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-10 19:21:18,774  1448ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-10 19:37:10,440  5520ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-10 19:38:24,500 79580ms DashboardController    GetDashboard       - An error occurred while executing the command definition. See the inner exception for details.
DEBUG 2017-01-10 19:46:55,046  5190ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-10 19:48:09,258 79402ms DashboardController    GetDashboard       - An error occurred while executing the command definition. See the inner exception for details.
DEBUG 2017-01-10 20:21:16,953  3360ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-10 20:22:30,611 77019ms DashboardController    GetDashboard       - An error occurred while executing the command definition. See the inner exception for details.
DEBUG 2017-01-11 16:42:47,664  7090ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-11 16:45:51,229 190655ms DashboardController    GetDashboard       - An error occurred while executing the command definition. See the inner exception for details.
ERROR 2017-01-11 16:53:59,021 678446ms AlertController        AlertProcessing    - The cast to value type 'System.DateTime' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type.
ERROR 2017-01-11 16:54:56,777 736203ms AlertController        AlertProcessing    - The cast to value type 'System.DateTime' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type.
ERROR 2017-01-11 17:01:46,243 1145669ms AlertController        AlertProcessing    - The cast to value type 'System.DateTime' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type.
ERROR 2017-01-11 17:02:26,583 1186009ms AlertController        AlertProcessing    - The cast to value type 'System.DateTime' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type.
DEBUG 2017-01-11 17:16:24,565  5836ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-11 17:18:22,980 124251ms DashboardController    GetDashboard       - An error occurred while executing the command definition. See the inner exception for details.
ERROR 2017-01-11 17:20:35,713 256985ms AlertController        AlertProcessing    - Object reference not set to an instance of an object.
DEBUG 2017-01-11 20:04:16,850  5125ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-11 20:05:48,800 97076ms DashboardController    GetDashboard       - An error occurred while executing the command definition. See the inner exception for details.
DEBUG 2017-01-11 20:22:34,365  7243ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-11 20:43:21,643  8447ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-11 21:33:16,237 3003041ms AlertController        AlertProcessing    - The cast to value type 'System.DateTime' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type.
ERROR 2017-01-11 21:34:00,670 3047475ms DashboardController    GetDashboard       - An error occurred while executing the command definition. See the inner exception for details.
DEBUG 2017-01-11 21:48:10,003  7887ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-11 21:50:51,318  3842ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2017-01-11 21:55:31,584  9320ms Global                 Application_Start  - Site Starting Debug....
ERROR 2017-01-11 22:14:53,420 1171156ms AlertController        AlertProcessing    - Column 'DataFieldId' does not allow DBNull.Value.
